# Image manual classification
I038878 0.7734 0
I038879 1.178 0
I038880 0.6671 0
I038881 1.1363 0
I038882 0.8907 0
I038883 0.8292 1
I038884 0.6423 0
I038885 1.1039 0
I038886 0.9474 0
I038887 0.756 0
I038888 0.0318 0
I038889 0.556 0
I038890 0.8109 0
I038891 0.7032 1
I038892 0.7971 0
I038893 0.8145 0
I038894 1.0201 0
I038895 1.3897 0
I038896 2.1107 0
I038897 0.6046 1
I038898 0.976 0
I038899 0.3679 1
I038900 0.8253 0
I038901 0.8413 0
I038902 1.4267 0
I038903 1.1854 0
I038904 0.8838 0
I038905 0.9529 0
I038906 1.1485 0
I038907 1.011 0
I038908 1.3942 0
I038909 2.0194 0
I038968 0.8042 0
I038969 0.7331 0
I038971 0.9765 0
I038973 0.8567 0
I038988 0.8215 0
I038989 1.1151 0
I038990 1.4485 0
I038991 1.259 0
I038992 1.2262 0
I038993 0.8919 0
I039010 0.5272 0
I039011 0.5032 0
I039012 1.9515 0
I039013 1.2037 0
I039014 0.994 0
I039015 0.61 1
I039016 1.5089 0
I039017 0.0508 0
I039018 0.0892 0
I039019 0.3744 0
I039020 0.0560 0
I039021 0.7855 0
I039022 0.6336 0
I039023 0.1023 0
I039024 0.7228 0
I039025 0.7963 0
I039026 1.2178 0
I039028 1.8418 0
I039029 0.8905 0
I039030 1.3226 0
I039032 0.8492 0
I039033 0.9444 0
I039034 0.8122 0
I039035 0.8492 0
I039036 0.2272 0
I039037 0.5003 0
I039038 0.5098 0
I039039 0.2414 0
I039191 0.7673 0
I039193 1.0784 0
I039194 2.1847 0
I039195 0.9667 0
I039197 1.8224 0
I039198 1.4794 1
I039200 1.5733 0
I039201 0.6524 0
I039202 0.477 0
I039686 0.3008 0
I039687 0.92 0
I039688 0.8388 0
I047694 0.9269 0
I047695 1.6839 0
I047696 1.3602 0
I047697 1.0298 0
I047698 1.2485 0
I047699 2.4443 0
I049332 0.8863 0
I049333 1.1339 0
I049334 1.2968 0
I049335 0.8468 0
I049336 1.2187 0
I049337 0.8651 0
I049339 1.5152 0
I049340 0.8136 0
I049341 1.6672 0
I049342 1.6393 0
I049343 1.1031 0
I061378 0.9675 0
I061379 1.4455 0
I061380 0.8305 0
I061381 0.4403 1
I061382 0.2854 1
I061383 0.1519 1
I061385 0.5547 1
I061387 0.4195 1
I061388 0.4969 0
I061390 1.0651 0
I061392 0.7135 0
I061395 1.0743 0
I061397 0.1958 1
I061398 0.3513 1
I061399 0.2244 1
I061402 1.1404 0
I061403 1.0313 0
I061407 1.1735 0
I061408 1.13 0
I061412 0.9509 0
I061416 0.3928 1
I061419 0.5586 1
I061421 0.2415 1
I061428 0.6249 0
I061430 0.7895 0
I061434 1.057 0
I061446 1.406 0
I061447 1.015 0
I061448 0.5448 0
I061450 0.5918 0
I061451 0.881 0
I061452 0.5578 0
I061453 0.6642 0
I061454 0.5432 0
I061455 0.7382 0
I061456 0.847 0
I061457 0.7016 0
I061458 0.8151 0
I061459 0.6529 0
I061460 0.918 0
I061462 0.7129 0
I061464 1.6218 0
I061465 0.6931 0
I061466 1.3207 0
I061468 0.6489 0
I061469 0.698 0
I061470 0.7622 0
I061475 1.057 0
I061476 1.1999 0
I061477 0.7456 0
I061480 0.7726 0
I061483 0.7954 1
I061488 1.3106 0
I061491 0.7873 0
I061493 0.6704 0
I061495 0.8804 0
I061498 1.0418 0
I061499 0.7069 0
I061500 0.6878 0
I062422 1.3115 0
I062423 1.1042 0
I062424 0.8351 0
I062425 0.9043 0
I062426 1.0946 0
I062427 0.9714 0
I062433 0.7933 0
I062434 0.8168 0
I062435 0.8341 0
I062436 0.8724 1
I062437 1.2585 0
I062438 0.9946 1
I062439 0.8605 1
I062440 0.7118 0
I062441 0.5703 0
I062443 0.9054 0
I062444 0.8229 0
I062445 0.7902 0
I062446 0.6737 0
I062447 1.1866 0
I062448 0.7352 0
I062450 0.8896 0
I062451 1.0797 0
I062452 0.8504 0
I062453 1.2882 0
I062454 0.9979 0
I062456 1.0095 0
I062457 0.9286 0
I062458 0.7919 0
I062459 0.7831 0
I062460 1.17 0
I062461 1.3216 0
I062462 1.3938 0
I062464 0.7403 0
I062465 0.7926 0
I062466 1.2776 0
I064165 1.4822 0
I126225 1.6768 0
I126228 1.1698 0
I126232 0.8335 0
I126667 0.9417 0
I126668 0.6465 0
I126669 0.899 0
I126670 1.3531 0
I126671 0.7226 0
I126672 1.0111 0
I126673 1.1482 0
I126675 0.8002 0
I128916 0.7685 0
I128917 0.3112 0
I128918 0.394 0
I128920 2.6331 0
I128922 0.6491 0
I128923 1.1911 0
I150172 0.436 0
I150175 1.0828 0
I150176 1.9064 0
I150178 0.7272 0
I150181 0.9238 0
I216746 0.1527 0
I216747 0.1017 0
I216748 0.2691 0
I253968 1.1941 0
I253970 1.3616 0
I253972 1.133 0
I262542 1.3995 0
I262558 1.0835 0
I262562 1.2189 0
I262563 1.0593 0
I262564 1.0655 0
I262565 1.0952 0
I267432 0.9926 0
I267433 1.062 0
I267434 1.2538 0
I267435 1.0092 0
I267436 0.769 0
I267437 1.2158 0
I267951 0.8233 0
I267955 0.8694 0
I267959 0.7615 0
I285240 1.0454 0
I285242 1.0146 0
I285245 1.1001 0
I306329 0.3317 0
I306330 0.5906 0
I306331 0.767 0
I306365 0.9648 0
I306366 0.9176 0
I306367 1.0682 0
