# Image Denudated
I038878 1 #0
I038879 0
I038880 0
I038881 0
I038882 0
I038883 0
I038884 0
I038885 0
I038886 0
I038887 0
I038888 1 
I038889 0
I038890 0
I038891 0
I038892 0
I038893 1 # little bit
I038894 0
I038895 0 #1
I038896 0 # Discount
I038897 1
I038898 0
I038899 0
I038900 0
I038901 0
I038902 0
I038903 0
I038904 0
I038905 0
I038906 0
I038907 0
I038908 0
I038909 0
I038968 0
I038969 0
I038971 1
I038973 0
I038988 0
I038989 0
I038990 0
I038991 0
I038992 0
I038993 0
I039010 0 #1
I039011 1
I039012 0
I039013 0
I039014 0
I039015 0
I039016 0
I039017 1
I039018 1
I039019 1
I039020 1
I039021 1
I039022 1
I039023 1
I039024 0
I039025 0
I039026 0
I039027 0
I039028 0
I039029 0
I039030 0
I039032 0
I039033 0
I039034 0
I039035 0
I039036 1
I039037 1
I039038 1
I039039 1
I039191 0
I039193 0 #1
I039194 1 #0
I039195 0
I039196 0
I039197 0
I039198 1 #0
I039200 0
I039201 1
I039202 1
I039686 1
I039687 0
I039688 0
I039713 1
I047694 0
I047695 0
I047696 0
I047697 0
I047698 0
I047699 0
I049332 0
I049333 0
I049334 0
I049335 0
I049336 0
I049337 0
I049339 0
I049340 0
I049341 0
I049342 0
I049343 0
I061378 0
I061379 0
I061380 0
I061381 1
I061382 1
I061383 1
I061385 1
I061387 1
I061388 1
I061390 1 #0
I061392 0
I061395 0
I061397 1
I061398 1
I061399 1
I061402 0
I061403 0
I061404 0
I061407 0
I061408 0
I061412 0
I061416 1
I061419 1
I061421 1
I061428 0
I061430 0
I061434 0
I061446 0
I061447 0
I061448 1
I061450 0
I061451 0
I061452 0
I061453 0
I061454 0
I061455 0
I061456 0
I061457 0
I061458 0
I061459 0
I061460 0
I061462 1
I061464 0
I061465 0
I061466 0
I061468 1 #0
I061469 0
I061470 1 #0
I061475 0
I061476 0
I061477 0
I061480 0
I061483 1 #0
I061488 0
I061491 0
I061493 1 #0
I061495 0
I061498 0
I061499 0
I061500 1
I062422 1 #0
I062423 0
I062424 0
I062425 0
I062426 0
I062427 0
I062433 1 #0
I062434 0
I062435 0
I062436 1
I062437 0
I062438 0
I062439 1 #0
I062440 0
I062441 1
I062443 0
I062444 0
I062445 0
I062446 0
I062447 0
I062448 0
I062450 0
I062451 0
I062452 0
I062453 0
I062454 0
I062456 0
I062457 0
I062458 0
I062459 0
I062460 0
I062461 0
I062462 0
I062464 0
I062465 0
I062466 0
I064165 1 #0
I064168 1 #0
I064171 0
I126225 0
I126228 0
I126232 0
I126667 0
I126668 0
I126669 0
I126670 0
I126671 0
I126672 0
I126673 0
I126675 0
I128916 1
I128917 1
I128918 1
I128920 0
I128922 0
I128923 0
I150172 0
I150175 0
I150176 0
I150178 0
I150181 0
I216746 1
I216747 1
I216748 1
I253968 0
I253970 0
I253972 0
I262542 0
I262558 0
I262562 1
I262563 1
I262564 1
I262565 0
I267432 1
I267433 0
I267434 0
I267435 0
I267436 1
I267437 0
I267951 0
I267955 0
I267959 1
I285240 0
I285242 0
I285245 0
I306329 1
I306330 1
I306331 1
I306365 0
I306366 0
I306367 1




